100 0.189 0.138 0.161
200 0.420 0.170 0.208
500 2.023 0.315 0.395
1000 7.460 0.769 0.790
2000 29.923 2.593 1.848
5000 194.86 15.338 6.085
10000 792.662 64.95 15.250
