file,protocol,hit_rate,lines,words,total,hits,invalidations,shared_access,private_access,S->M,E->M
trace1.txt,MSI,0.3307291666666667,64,1,196608,65024,0,32512,32512,32768,0
trace1.txt,MSI,0.3307291666666667,128,1,196608,65024,0,32512,32512,32768,0
trace1.txt,MSI,0.3357747395833333,256,1,196608,66016,0,33008,33008,32768,0
trace1.txt,MSI,0.6536458333333334,1024,1,196608,128512,198,64256,64256,32768,0
trace1.txt,MSI,0.8060811360677084,4096,1,196608,158482,202,34879,123603,17902,0
trace1.txt,MSI,0.6654561360677084,64,4,196608,130834,15,28940,101894,8260,0
trace1.txt,MSI,0.81256103515625,128,4,196608,159756,33,25360,134396,6306,0
trace1.txt,MSI,0.95343017578125,256,4,196608,187452,33,19090,168362,2530,0
trace1.txt,MSI,0.9780680338541666,1024,4,196608,192296,51,12772,179524,2028,0
trace1.txt,MSI,0.8518778483072916,4096,4,196608,167486,15710,74732,92754,9758,0
trace1.txt,MSI,0.90069580078125,64,16,196608,177084,5,5584,171500,3712,0
trace1.txt,MSI,0.9492594401041666,128,16,196608,186632,9,3314,183318,1962,0
trace1.txt,MSI,0.9807078043619791,256,16,196608,192815,38,3245,189570,250,0
trace1.txt,MSI,0.9066619873046875,1024,16,196608,178257,10094,78605,99652,7984,0
trace1.txt,MSI,0.9024861653645834,4096,16,196608,177436,10180,78840,98596,8121,0
trace1.txt,MSI,0.9493611653645834,64,32,196608,186652,3,2436,184216,1952,0
trace1.txt,MSI,0.9742838541666666,128,32,196608,191552,38,1515,190037,1015,0
trace1.txt,MSI,0.9386698404947916,256,32,196608,184550,5110,71901,112649,5144,0
trace1.txt,MSI,0.8668924967447916,1024,32,196608,170438,14181,87005,83433,11907,0
trace1.txt,MSI,0.8655242919921875,4096,32,196608,170169,14098,86736,83433,11907,0
trace1.txt,MSI,0.9730987548828125,64,64,196608,191319,73,2855,188464,1107,0
trace1.txt,MSI,0.9000905354817709,128,64,196608,176965,8595,35671,141294,9049,0
trace1.txt,MSI,0.7898457845052084,256,64,196608,155290,22435,94826,60464,17909,0
trace1.txt,MSI,0.794830322265625,1024,64,196608,156270,22371,96888,59382,17926,0
trace1.txt,MSI,0.7941538492838541,4096,64,196608,156137,22329,96755,59382,17926,0
