file,protocol,hit_rate,lines,words,total,hits,invalidations,shared_access,private_access,S->M,E->M
trace2.txt,MESI,0.33562046422359504,64,1,583555,195853,9170,155604,40249,1578,267
trace2.txt,MESI,0.5710789899838061,128,1,583555,333256,16689,299385,33871,6716,363
trace2.txt,MESI,0.75093864331554,256,1,583555,438214,25320,401468,36746,19931,507
trace2.txt,MESI,0.8532391976763116,1024,1,583555,497912,33736,453141,44771,32377,843
trace2.txt,MESI,0.8740444345434449,4096,1,583555,510053,35096,463390,46663,34999,977
trace2.txt,MESI,0.6531637977568524,64,4,583555,381157,24757,359659,21498,9496,404
trace2.txt,MESI,0.7438082100230484,128,4,583555,434053,36336,402978,31075,19451,450
trace2.txt,MESI,0.8066112020289433,256,4,583555,470702,46394,433544,37158,30720,317
trace2.txt,MESI,0.8422702230295345,1024,4,583555,491511,52559,450877,40634,38558,37
trace2.txt,MESI,0.8422702230295345,4096,4,583555,491511,52559,450877,40634,38558,37
trace2.txt,MESI,0.7686490562157808,64,16,583555,448549,61000,420963,27586,19785,682
trace2.txt,MESI,0.8132498222104172,128,16,583555,474576,78733,442234,32342,30016,5
trace2.txt,MESI,0.8132498222104172,256,16,583555,474576,78733,442234,32342,30016,5
trace2.txt,MESI,0.8132498222104172,1024,16,583555,474576,78733,442234,32342,30016,5
trace2.txt,MESI,0.8132498222104172,4096,16,583555,474576,78733,442234,32342,30016,5
trace2.txt,MESI,0.798308642715768,64,32,583555,465857,91301,438327,27530,26276,7
trace2.txt,MESI,0.798308642715768,128,32,583555,465857,91301,438327,27530,26276,7
trace2.txt,MESI,0.798308642715768,256,32,583555,465857,91301,438327,27530,26276,7
trace2.txt,MESI,0.798308642715768,1024,32,583555,465857,91301,438327,27530,26276,7
trace2.txt,MESI,0.798308642715768,4096,32,583555,465857,91301,438327,27530,26276,7
trace2.txt,MESI,0.7868941230903685,64,64,583555,459196,99222,435041,24155,25074,0
trace2.txt,MESI,0.7868941230903685,128,64,583555,459196,99222,435041,24155,25074,0
trace2.txt,MESI,0.7868941230903685,256,64,583555,459196,99222,435041,24155,25074,0
trace2.txt,MESI,0.7868941230903685,1024,64,583555,459196,99222,435041,24155,25074,0
trace2.txt,MESI,0.7868941230903685,4096,64,583555,459196,99222,435041,24155,25074,0
